account_id,company_size,plan,monthly_revenue,tenure_months,login_count_30d,feature_adoption_pct,support_tickets_90d,nps_score,contract_end_days,last_login_days_ago,billing_failures_6m,integrations_active,onboarding_complete,cs_health_score,churned_90d
ACCT-0000,Medium,Pro,1553.01,29,12,35.3,2,MISSING,126,14,1,0,False,,0
ACCT-0001,MISSING,Pro,1089.64,4,13,57.3,2,7,76,2,0,2,False,10.0,0
ACCT-0002,Large,Starter,1149.24,2,10,15.2,3,8,197,12,0,2,True,2.0,0
ACCT-0003,Medium,Starter,223.01,39,6,17.4,1,8,111,13,0,3,false,9.0,0
ACCT-0004,Small,Starter,1753.83,8,15,16.6,3,N/A,283,2,0,0,true,4.0,1
ACCT-0005,Small,Starter,819.75,21,12,14.7,0,9,141,0,1,0,0,10.0,1
ACCT-0006,Small,Pro,495.01,1,11,15.8,6,N/A,115,2,0,0,False,,0
ACCT-0007,Enterprise,Pro,745.99,21,9,37.4,3,2,-24,2,0,2,0,10.0,0
ACCT-0008,Medium,Pro,160.62,7,10,43.6,0,5,312,1,0,1,true,,0
ACCT-0009,Large,Business,922.35,1,4,14.9,1,9,322,10,0,1,True,9.0,1
ACCT-0010,Small,Business,291.93,17,16,37.7,1,MISSING,270,4,0,2,1,2.0,0
ACCT-0011,MISSING,Business,225.4,5,8,44.3,1,2,-15,17,0,5,True,6.0,0
ACCT-0012,Large,Enterprise,196.79,9,11,58.6,2,1,289,2,0,4,true,5.0,0
ACCT-0013,Small,Starter,1619.95,2,15,7.6,0,4,6,5,1,3,False,1.0,0
ACCT-0014,Small,Starter,402.06,3,5,45.0,1,10,122,8,1,1,true,7.0,0
ACCT-0015,Small,Starter,2268.75,6,11,44.7,2,8,234,17,0,1,1,1.0,1
ACCT-0016,Small,Pro,433.27,2,19,38.7,1,MISSING,152,6,0,1,False,10.0,0
ACCT-0017,Medium,Business,169.71,44,9,23.9,5,2,125,4,0,3,1,9.0,0
ACCT-0018,Medium,Starter,272.27,1,17,15.5,4,5,106,16,0,1,false,4.0,0
ACCT-0019,Small,Enterprise,1787.64,12,15,11.6,2,7,59,3,0,0,0,8.0,1
ACCT-0020,Medium,Starter,587.15,2,12,54.7,1,10,187,1,0,5,True,1.0,0
ACCT-0021,Small,Enterprise,428.96,7,7,13.0,3,N/A,299,5,0,1,false,5.0,0
ACCT-0022,Small,Starter,755.98,47,9,15.1,2,4,155,12,0,2,true,3.0,0
